Data_Packet_Traffic,Data_Packet_Injection_Rate_(packets/cycle/node),Routing_Algorithm,Selection_Policy,Ant_Packet_Traffic,Ant_Packet_Injection_Rate_(packets/cycle/node),Alpha,Reinforcement_Factor,NoC_Routing_Solution,Simulation_Time,Total_Cycles,Num_Packets_Transmitted,Throughput_(packets/cycle/node),Avg._Packet_Delay_(cycles),Avg._Packet_Hops,Num_Payload_Packets_Transmitted,Payload_Throughput_(packets/cycle/node),Avg._Payload_Packet_Delay_(cycles),Avg._Payload_Packet_Hops,Average_Flit_per_State_Delay[INPUT_BUFFER],Max_Flit_per_State_Delay[INPUT_BUFFER],Average_Flit_per_State_Delay[ROUTE_COMPUTATION],Max_Flit_per_State_Delay[ROUTE_COMPUTATION],Average_Flit_per_State_Delay[VIRTUAL_CHANNEL_ALLOCATION],Max_Flit_per_State_Delay[VIRTUAL_CHANNEL_ALLOCATION],Average_Flit_per_State_Delay[SWITCH_ALLOCATION],Max_Flit_per_State_Delay[SWITCH_ALLOCATION],Average_Flit_per_State_Delay[SWITCH_TRAVERSAL],Max_Flit_per_State_Delay[SWITCH_TRAVERSAL],Average_Flit_per_State_Delay[LINK_TRAVERSAL],Max_Flit_per_State_Delay[LINK_TRAVERSAL],Average_Flit_per_State_Delay[DESTINATION_ARRIVED],Max_Flit_per_State_Delay[DESTINATION_ARRIVED]
Transpose1,0.06,OddEven,ACO,Uniform,0.0001,0.45,rf=0.001000,OddEven+ACO,1m38.177964071s,20000,67542,0.0527671875,69.05372953125463,6.988629297326108,67409,0.05266328125,69.09074455933184,6.989808482546841,3.949225965157829,86,1.6122827419968706,63,1.2459268406662536,6,1,1,1.0772496165117602,66,3.060646535910997,126,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,1m37.6318991s,20000,67626,0.0528328125,67.36212403513441,7.0037263774288,67362,0.0526265625,67.43393901606247,7.005596627178528,3.839077245125832,88,1.5880929107716162,60,1.2395825213469038,6,1,1,1.0686398538678092,62,2.90480053631064,122,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0004,0.45,rf=0.001000,OddEven+ACO,1m38.464132001s,20000,67688,0.05288125,70.26941259898358,6.990057321829571,67201,0.05250078125,70.39500900284222,6.994151872739989,3.990898641321138,129,1.6371698025669252,80,1.2414073819431117,5,1,1,1.0826167373940023,71,3.213532586909301,140,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0008,0.45,rf=0.001000,OddEven+ACO,1m46.754386705s,20000,69660,0.054421875,90.80635946023543,6.966838931955211,68673,0.05365078125,91.20070478936408,6.975332372256927,4.914966999364525,181,1.9342865953947368,122,1.2470628631584142,5,1,1,1.2271970709217033,108,5.301196000357417,235,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0016,0.45,rf=0.001000,OddEven+ACO,1m38.382237273s,20000,71167,0.05559921875,66.60571613247713,6.96165357539309,69148,0.054021875,67.0920200150402,6.978972638398797,3.8546507849660503,94,1.5828756155775099,64,1.2407650984270604,5,1,1,1.0675914802258466,59,2.889448044501393,137,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0032,0.45,rf=0.001000,OddEven+ACO,1m42.757697206s,20000,75407,0.05891171875,70.91247496916732,6.9521662445131085,71290,0.0556953125,71.97330621405527,6.985046991162856,4.106272146355571,116,1.6312851713631598,72,1.2492387158659226,5,1,1,1.0862854790149508,74,3.366789947888121,158,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0064,0.45,rf=0.001000,OddEven+ACO,1m43.656860929s,20000,83353,0.06511953125,65.14445790793373,6.847096085323863,75243,0.05878359375,66.86970216498544,6.905306805948726,3.8973533250893104,93,1.5561535569718747,60,1.2466032727488923,6,1,1,1.0670760665278984,63,2.9516388445073494,138,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0128,0.45,rf=0.001000,OddEven+ACO,1m50.157765034s,20000,99066,0.0773953125,79.78830274766318,6.7804897744937715,82863,0.06473671875,83.25531298649578,6.867383512544803,4.6985606896275875,144,1.7167677091639086,77,1.2518368704597966,8,1,1,1.1636826783114993,81,4.800023319975981,202,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0256,0.45,rf=0.001000,OddEven+ACO,2m19.845159094s,20000,128947,0.10073984375,261.1719931444702,6.5954306808223535,97630,0.0762734375,268.7758475878316,6.697265184881696,8.527297115363345,458,2.7868366501799193,208,1.2555973859757081,7,1,1,1.7984182637118282,254,13.166678500275529,600,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.0512,0.45,rf=0.001000,OddEven+ACO,18m13.464627784s,20000,37124,0.029003125,199.33934920805947,6.385168624070682,25774,0.0201359375,198.07340730969193,6.485101264840537,9.645513176424029,490,2.808620234395629,331,1.2706111754311133,7,1,1,1.8864686798871653,332,14.687702927614525,827,0,0
Transpose1,0.06,OddEven,ACO,Uniform,0.1024,0.45,rf=0.001000,OddEven+ACO,34m43.15402428s,20000,9015,0.00704296875,93.70427066001109,5.960732113144759,6137,0.00479453125,91.41649014176308,6.097930584976373,7.155242430023711,221,2.1031818901377237,121,1.2867342092765552,7,1,1,1.44449629426297,120,8.216743447880619,330,0,0
