Data_Packet_Traffic,Data_Packet_Injection_Rate_(packets/cycle/node),Routing_Algorithm,Selection_Policy,Ant_Packet_Traffic,Ant_Packet_Injection_Rate_(packets/cycle/node),Alpha,Reinforcement_Factor,NoC_Routing_Solution,Simulation_Time,Total_Cycles,Num_Packets_Transmitted,Throughput_(packets/cycle/node),Avg._Packet_Delay_(cycles),Avg._Packet_Hops,Num_Payload_Packets_Transmitted,Payload_Throughput_(packets/cycle/node),Avg._Payload_Packet_Delay_(cycles),Avg._Payload_Packet_Hops,Average_Flit_per_State_Delay[INPUT_BUFFER],Max_Flit_per_State_Delay[INPUT_BUFFER],Average_Flit_per_State_Delay[ROUTE_COMPUTATION],Max_Flit_per_State_Delay[ROUTE_COMPUTATION],Average_Flit_per_State_Delay[VIRTUAL_CHANNEL_ALLOCATION],Max_Flit_per_State_Delay[VIRTUAL_CHANNEL_ALLOCATION],Average_Flit_per_State_Delay[SWITCH_ALLOCATION],Max_Flit_per_State_Delay[SWITCH_ALLOCATION],Average_Flit_per_State_Delay[SWITCH_TRAVERSAL],Max_Flit_per_State_Delay[SWITCH_TRAVERSAL],Average_Flit_per_State_Delay[LINK_TRAVERSAL],Max_Flit_per_State_Delay[LINK_TRAVERSAL],Average_Flit_per_State_Delay[DESTINATION_ARRIVED],Max_Flit_per_State_Delay[DESTINATION_ARRIVED]
Transpose2,0.015,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,23.192550204s,20000,16821,0.01314140625,41.62279293739968,7.023898698056001,16821,0.01314140625,41.62279293739968,7.023898698056001,2.1234475512796935,27,1.0066117099978862,13,1.0309205130589916,4,1,1,1,1,1.0006655262340582,10,0,0
Transpose2,0.015,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,1m7.704204787s,20000,16927,0.01322421875,41.109233768535475,6.981922372540911,16927,0.01322421875,41.109233768535475,6.981922372540911,2.09292257895493,17,1.0004309325041403,12,1.0123202244342668,3,1,1,1,1,1,1,0,0
Transpose2,0.015,WestFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,WestFirst+BufferLevel,2m14.532772918s,20000,16565,0.01294140625,41.52973136130395,7.036341684274072,16565,0.01294140625,41.52973136130395,7.036341684274072,2.1055879203255516,26,1.0040170618062216,16,1.0204974902780395,4,1,1,1,1,1.000042442808316,5,0,0
Transpose2,0.015,NorthLast,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NorthLast+BufferLevel,2m12.539349298s,20000,16810,0.0131328125,41.125461035098155,6.957049375371803,16810,0.0131328125,41.125461035098155,6.957049375371803,2.1110857435481636,23,1.0034386545730694,11,1.0213419577256864,4,1,1,1,1,1.0000772500959396,5,0,0
Transpose2,0.015,NorthLast,ACO,Uniform,0.0002,0.45,rf=0.001000,NorthLast+ACO,1m7.833532763s,20000,17169,0.01341328125,41.32547032442192,7.008736676568233,16940,0.013234375,41.42255017709563,7.014935064935065,2.1026361525873116,27,1.0063972784600066,15,1.0261884807196024,4,1,1,1,1,1.000081369171933,8,0,0
Transpose2,0.015,OddEven,Random,Uniform,0.01,0.5,rf=0.050000,OddEven+Random,1m12.27696231s,20000,16813,0.01313515625,41.3275441622554,6.985011598168084,16813,0.01313515625,41.3275441622554,6.985011598168084,2.1177646705988202,23,1.0032836811256391,13,1.0216594213378478,4,1,1,1,1,1.000181220132812,6,0,0
Transpose2,0.015,OddEven,BufferLevel,Uniform,0.01,0.5,rf=0.050000,OddEven+BufferLevel,23.008945106s,20000,16602,0.0129703125,41.29122997229249,6.999397662932177,16602,0.0129703125,41.29122997229249,6.999397662932177,2.102260004770572,21,1.001615786578658,11,1.0179114740008595,4,1,1,1,1,1.0000802266402586,4,0,0
Transpose2,0.015,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,24.639352345s,20000,17343,0.01354921875,41.012050971573544,6.968402237213861,17081,0.01334453125,41.1300860605351,6.977284702300802,2.0940313022785815,20,1.0034947413643536,13,1.0207131880298097,4,1,1,1,1,1.0000073869792179,2,0,0
Transpose2,0.03,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,11m50.366104601s,20000,33271,0.02599296875,45.600643202789215,7.02518709987677,33271,0.02599296875,45.600643202789215,7.02518709987677,2.4870597107716104,35,1.0951072910036184,25,1.1210306186531551,5,1,1,1.001843956022824,17,1.1523681057396018,41,0,0
Transpose2,0.03,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,1m57.853171238s,20000,33505,0.02617578125,41.61707207879421,6.9936128935979704,33505,0.02617578125,41.61707207879421,6.9936128935979704,2.1382821964309118,27,1.0079384017521582,17,1.041266283435107,4,1,1,1,1,1.000151669231783,9,0,0
Transpose2,0.03,WestFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,WestFirst+BufferLevel,4m0.644978706s,20000,33123,0.02587734375,44.022824019563444,7.011713914802403,33123,0.02587734375,44.022824019563444,7.011713914802403,2.3381816695897912,34,1.0523651627164858,20,1.0826322942471787,4,1,1,1.001726116410151,18,1.112012080939283,45,0,0
Transpose2,0.03,NorthLast,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NorthLast+BufferLevel,4m2.024599731s,20000,33742,0.0263609375,43.880949558413846,6.9710153517870905,33742,0.0263609375,43.880949558413846,6.9710153517870905,2.3508501543853617,38,1.0584110165894078,30,1.0854576405014285,5,1,1,1.0018354330942705,18,1.1100295793096013,54,0,0
Transpose2,0.03,NorthLast,ACO,Uniform,0.0002,0.45,rf=0.001000,NorthLast+ACO,1m54.113557471s,20000,34064,0.0266125,43.638503992484736,7.000763269140442,33809,0.02641328125,43.71084622437812,7.005974740453725,2.3364753426324114,32,1.0641404178864444,26,1.0952907473488465,5,1,1,1.0004517839647376,14,1.0577885385468766,49,0,0
Transpose2,0.03,OddEven,Random,Uniform,0.01,0.5,rf=0.050000,OddEven+Random,2m5.990835672s,20000,33364,0.026065625,42.730547895935736,6.97068696798945,33364,0.026065625,42.730547895935736,6.97068696798945,2.2767506323189033,34,1.0431183640524306,22,1.0743779652648076,5,1,1,1.0000762313783385,22,1.0160678610192688,46,0,0
Transpose2,0.03,OddEven,BufferLevel,Uniform,0.01,0.5,rf=0.050000,OddEven+BufferLevel,12m5.680099869s,20000,33132,0.025884375,42.172672944585294,6.9893154654110825,33132,0.025884375,42.172672944585294,6.9893154654110825,2.2012980992118685,29,1.0284316050447342,15,1.0647518929267494,4,1,1,1,1,1.0024094687719007,15,0,0
Transpose2,0.03,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,13m6.334676368s,20000,33945,0.02651953125,42.412638091029606,7.014346737369274,33672,0.02630625,42.47594440484676,7.018858398669518,2.2108864528525167,30,1.042669630126646,25,1.0729015076852104,4,1,1,1,1,1.0025137464714196,19,0,0
Transpose2,0.045,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,33m36.893813411s,20000,47073,0.03677578125,441.6087990992713,6.566248167739468,47073,0.03677578125,441.6087990992713,6.566248167739468,8.316645805240304,643,3.96871946204828,419,1.1821949575386959,5,1,1,1.9585228363581215,433,11.666120344963133,1045,0,0
Transpose2,0.045,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,2m36.509236931s,20000,50187,0.03920859375,42.62261143323968,6.988124414689063,50187,0.03920859375,42.62261143323968,6.988124414689063,2.24671630576832,31,1.049384650000997,24,1.0884501778801923,4,1,1,1,1,1.001579160401971,20,0,0
Transpose2,0.045,WestFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,WestFirst+BufferLevel,9m24.671603316s,20000,48608,0.037975,216.67565009874917,6.807439104674128,48608,0.037975,216.67565009874917,6.807439104674128,5.062485061837396,588,2.383445044458314,410,1.1300110661830112,5,1,1,1.4435919614557702,397,6.107461248447507,940,0,0
Transpose2,0.045,NorthLast,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NorthLast+BufferLevel,9m57.907312952s,20000,48297,0.03773203125,245.43464397374578,6.767107687848107,48297,0.03773203125,245.43464397374578,6.767107687848107,5.179851550761638,579,2.504776792938468,456,1.128847187278634,5,1,1,1.468917537227101,450,6.104838861425396,897,0,0
Transpose2,0.045,NorthLast,ACO,Uniform,0.0002,0.45,rf=0.001000,NorthLast+ACO,4m28.714395443s,20000,49062,0.0383296875,229.38112999877706,6.772512331335861,48826,0.0381453125,229.53481751525825,6.775078851431615,5.109508332098164,640,2.458142343067579,525,1.146225777478725,5,1,1,1.450464848217149,342,5.863215319784802,834,0,0
Transpose2,0.045,OddEven,Random,Uniform,0.01,0.5,rf=0.050000,OddEven+Random,3m11.76816951s,20000,50376,0.03935625,62.69930125456567,6.980427187549627,50376,0.03935625,62.69930125456567,6.980427187549627,3.465155567470728,436,1.5030915320384826,331,1.1612041310100893,5,1,1,1.098771413371165,333,2.653979124168808,502,0,0
Transpose2,0.045,OddEven,BufferLevel,Uniform,0.01,0.5,rf=0.050000,OddEven+BufferLevel,16m18.644494592s,20000,50023,0.03908046875,45.36833056793875,6.996841452931651,50023,0.03908046875,45.36833056793875,6.996841452931651,2.501216008652246,53,1.1432292706865168,31,1.1371021125554959,5,1,1,1.0014633798294745,22,1.0881571729773418,58,0,0
Transpose2,0.045,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,18m11.227829105s,20000,50931,0.03978984375,45.122145648033616,6.985195656869098,50644,0.039565625,45.17682252586683,6.989515046204881,2.5081207677816812,45,1.160654191705002,30,1.1476737821565408,5,1,1,1.0001683201647558,18,1.0466203966917325,40,0,0
Transpose2,0.06,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,59m16.865683894s,20000,53875,0.04208984375,905.6164083526683,5.885828306264501,53875,0.04208984375,905.6164083526683,5.885828306264501,11.63637656941914,1068,6.405604603871552,794,1.193305652383003,5,1,1,2.467991798252097,820,16.443860299028977,1438,0,0
Transpose2,0.06,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,3m7.523691221s,20000,67107,0.05242734375,44.79663820465823,6.989360275381108,67107,0.05242734375,44.79663820465823,6.989360275381108,2.4758564809762285,42,1.1556507964895697,31,1.1535916331140972,5,1,1,1.0000063891401656,4,1.0161968396561953,30,0,0
Transpose2,0.06,WestFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,WestFirst+BufferLevel,20m34.226442814s,20000,60565,0.04731640625,435.27144390324446,6.477189796086849,60565,0.04731640625,435.27144390324446,6.477189796086849,6.151375723734549,1129,3.2979162851270782,775,1.1701214626391097,5,1,1,1.5915141012844565,808,7.0487142815226544,1679,0,0
Transpose2,0.06,NorthLast,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NorthLast+BufferLevel,20m29.822238626s,20000,60561,0.04731328125,425.3347699014217,6.465266425587425,60561,0.04731328125,425.3347699014217,6.465266425587425,6.244898921480794,946,3.3442998494025793,659,1.1721319830587085,5,1,1,1.6047926173299003,686,7.161475289941507,1527,0,0
Transpose2,0.06,NorthLast,ACO,Uniform,0.0002,0.45,rf=0.001000,NorthLast+ACO,9m23.976291836s,20000,60740,0.047453125,427.971929535726,6.503309186697399,60533,0.04729140625,428.5034444022269,6.503973039499116,6.216567909840827,1067,3.2994708994708994,831,1.1881282644494509,5,1,1,1.5929977520669554,634,7.071972587874817,1543,0,0
Transpose2,0.06,OddEven,Random,Uniform,0.01,0.5,rf=0.050000,OddEven+Random,13m10.056767412s,20000,58721,0.04587578125,721.7216838950291,6.347626913710598,58721,0.04587578125,721.7216838950291,6.347626913710598,9.139787319126969,1960,5.3184674542605475,1583,1.1983061317815569,5,1,1,2.064713000191973,1452,12.131970915605702,2118,0,0
Transpose2,0.06,OddEven,BufferLevel,Uniform,0.01,0.5,rf=0.050000,OddEven+BufferLevel,23m21.655398147s,20000,67092,0.052415625,68.11022178501163,7.004322422941632,67092,0.052415625,68.11022178501163,7.004322422941632,3.8974455927180807,129,1.6125162202858168,98,1.236729371135838,5,1,1,1.075774893853431,68,2.9400819739160386,151,0,0
Transpose2,0.06,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,25m28.312625657s,20000,67752,0.05293125,68.5618136733971,7.000472310780493,67492,0.052728125,68.64281692645054,7.003230012445919,3.908497049954873,101,1.60203523591573,74,1.2427900695434868,5,1,1,1.0793460925039873,77,3.011471480436555,149,0,0
Transpose2,0.075,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,1h26m20.534461661s,20000,58129,0.04541328125,1373.165098315815,5.360164461800478,58129,0.04541328125,1373.165098315815,5.360164461800478,14.106638236202134,1551,8.302217062296508,1049,1.2100158967256582,5,1,1,2.846026144345139,945,19.7997681791436,2031,0,0
Transpose2,0.075,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,3m40.570147327s,20000,83944,0.06558125,51.57611026398551,7.000071476222243,83944,0.06558125,51.57611026398551,7.000071476222243,3.0514402575411412,68,1.3843847312993414,57,1.233124414912324,5,1,1,1.0048996843586966,35,1.325737690617987,75,0,0
Transpose2,0.075,WestFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,WestFirst+BufferLevel,31m36.715556654s,20000,70693,0.05522890625,593.1819982176453,6.338661536502907,70693,0.05522890625,593.1819982176453,6.338661536502907,6.803134334838969,1407,3.754527342141291,1014,1.2252739424108714,5,1,1,1.639730532870747,1033,7.442515900405939,2038,0,0
Transpose2,0.075,NorthLast,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NorthLast+BufferLevel,32m13.193072234s,20000,70942,0.0554234375,599.1076654168194,6.329226692227453,70942,0.0554234375,599.1076654168194,6.329226692227453,6.84173980202751,1340,3.780589310989199,1108,1.2254020314336695,5,1,1,1.6420407149315683,978,7.423031378342093,1946,0,0
Transpose2,0.075,NorthLast,ACO,Uniform,0.0002,0.45,rf=0.001000,NorthLast+ACO,15m11.633532532s,20000,71016,0.05548125,606.3694519544891,6.3357834854117385,70850,0.0553515625,606.2808045165843,6.3365984474241355,6.977655515762263,1476,3.820361459141812,1146,1.2380483499326933,6,1,1,1.6439295075505356,892,7.575807841034629,2055,0,0
Transpose2,0.075,OddEven,Random,Uniform,0.01,0.5,rf=0.050000,OddEven+Random,25m45.98802636s,20000,65590,0.0512421875,1175.6974538801646,5.905625857600244,65590,0.0512421875,1175.6974538801646,5.905625857600244,12.092524128632,2114,7.221247816591078,1319,1.2187125355670925,5,1,1,2.5657442942119744,1321,17.371154831175613,3136,0,0
Transpose2,0.075,OddEven,BufferLevel,Uniform,0.01,0.5,rf=0.050000,OddEven+BufferLevel,40m48.043820214s,20000,80055,0.06254296875,419.80543376428705,6.812428955093373,80055,0.06254296875,419.80543376428705,6.812428955093373,9.74569342332616,488,4.337101214338394,372,1.2888843856343746,5,1,1,1.9987429493522284,374,14.80421108750564,692,0,0
Transpose2,0.075,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,42m16.319264722s,20000,80308,0.062740625,473.61437216715643,6.779237435871893,80057,0.06254453125,473.59832369436776,6.780831157800067,9.104054884395973,538,4.148526898601002,438,1.2851156569140711,5,1,1,1.9339616180031047,399,13.358178394358024,872,0,0
Transpose2,0.09,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,1h46m53.822138959s,20000,60629,0.04736640625,1808.7171485592703,5.044401194148015,60629,0.04736640625,1808.7171485592703,5.044401194148015,15.892564245873778,1420,9.767421781584666,944,1.2191653172335373,5,1,1,3.1145982581651563,944,22.22411965958001,2543,0,0
Transpose2,0.09,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,4m51.41119869s,20000,100736,0.0787,89.88087674714104,6.99116502541296,100736,0.0787,89.88087674714104,6.99116502541296,5.065269007521951,214,2.121130164738951,149,1.310643488954977,5,1,1,1.173366904501813,151,4.773098758551804,324,0,0
Transpose2,0.09,WestFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,WestFirst+BufferLevel,43m45.995584115s,20000,80385,0.06280078125,745.6057349007899,6.28382160850905,80385,0.06280078125,745.6057349007899,6.28382160850905,8.348584810214042,1637,4.425909881248187,1114,1.2848805193318478,5,1,1,1.759993938131424,957,9.892380522940746,2333,0,0
Transpose2,0.09,NorthLast,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NorthLast+BufferLevel,43m2.018725089s,20000,80553,0.06293203125,725.5627350936651,6.269896838106588,80553,0.06293203125,725.5627350936651,6.269896838106588,8.22644140861814,1475,4.382791045689569,1048,1.2866766437509625,6,1,1,1.7434441504727085,1013,9.47590477897217,2511,0,0
Transpose2,0.09,NorthLast,ACO,Uniform,0.0002,0.45,rf=0.001000,NorthLast+ACO,20m34.382495187s,20000,80850,0.0631640625,714.7628571428571,6.249375386518244,80653,0.06301015625,714.9969003012907,6.250182882223847,8.434591589307152,1625,4.427515087665303,1287,1.2989536946240463,6,1,1,1.7461233349895302,1297,9.756900948592916,2510,0,0
Transpose2,0.09,OddEven,Random,Uniform,0.01,0.5,rf=0.050000,OddEven+Random,39m10.163370386s,20000,69241,0.05409453125,1674.5320258228505,5.551262980026285,69241,0.05409453125,1674.5320258228505,5.551262980026285,13.53298179711227,1970,8.37831428349273,1494,1.2268125408229915,5,1,1,2.804848795256881,1405,19.61641678051497,3218,0,0
Transpose2,0.09,OddEven,BufferLevel,Uniform,0.01,0.5,rf=0.050000,OddEven+BufferLevel,1h8m34.594275067s,20000,85427,0.06673984375,968.1553958350404,6.363081929600711,85427,0.06673984375,968.1553958350404,6.363081929600711,12.074077551661642,926,5.856332775922795,691,1.3049040277393629,5,1,1,2.440774285532336,649,18.885950517477436,1262,0,0
Transpose2,0.09,OddEven,ACO,Uniform,0.0002,0.45,rf=0.001000,OddEven+ACO,1h13m11.985639186s,20000,83617,0.06532578125,1071.4034227489626,6.343124005883971,83431,0.06518046875,1071.7070393498818,6.342858170224497,12.434256809448529,533,6.045546015310279,345,1.297767890666066,6,1,1,2.527303372216391,366,19.55881903518793,867,0,0
Transpose2,0.105,XY,BufferLevel,Uniform,0.01,0.5,rf=0.050000,XY+BufferLevel,2h0m52.618794424s,20000,62311,0.04868046875,2283.6478791866602,4.812553160758132,62311,0.04868046875,2283.6478791866602,4.812553160758132,16.552104846038947,1913,10.46843024955484,1425,1.2504734250725917,5,1,1,3.2161725976828857,1450,22.733847203274216,2997,0,0
Transpose2,0.105,NegativeFirst,BufferLevel,Uniform,0.01,0.5,rf=0.050000,NegativeFirst+BufferLevel,9m43.671345546s,20000,111548,0.087146875,436.9816850145229,6.880141284469466,111548,0.087146875,436.9816850145229,6.880141284469466,7.802321118095927,432,3.492139471462892,258,1.352154088111574,5,1,1,1.5781579470469702,260,9.755163213882586,516,0,0
